# T muB eHG nBHG eQGP nBQGP 
0.110906 0.525 0.0011313541185546743 0.0007906558481262697 0.0011712456361412885 0.0008270853653131255 
0.11069 0.526 0.001125563632075099 0.0007889033456638901 0.001165605653213706 0.0008254116569971895 
0.110474 0.527 0.0011199240455913074 0.0007871356844147253 0.0011599836957112515 0.0008237228542911741 
0.11025700000000001 0.528 0.0011141977815568571 0.0007853174692492113 0.001154379692329774 0.0008220204141529489 
0.11004000000000001 0.529 0.0011085411717038276 0.0007835689322568364 0.001148793572405627 0.0008203030475006801 
0.109822  0.53 0.001102719528757014 0.0007815880713782655 0.0011432252659123458 0.0008185720672206186 
0.10960299999999999 0.531 0.0010970914802222737 0.0007798523438978534 0.0011376747034573076 0.000816827415115767 
0.109384 0.532 0.001091492218066788 0.0007779849928867082 0.0011321418162784315 0.0008150680225316566 
0.10916500000000001 0.533 0.0010859179339576196 0.0007761971633480136 0.0011266265362408817 0.0008132940481138206 
0.10894499999999999 0.534 0.0010801813204208345 0.000774207800672234 0.001121128795833784 0.0008115065217589679 
0.108724 0.535 0.0010746572445286845 0.0007723310943061366 0.001115648528166962 0.0008097053916990001 
0.108503 0.536 0.001069123908076463 0.0007704511010277947 0.0011101856669676737 0.0008078898759576735 
0.108281 0.537 0.0010636288312301063 0.0007686174773364072 0.0011047401465773795 0.0008060607976158518 
0.108059 0.538 0.0010581611704743896 0.0007667063514426465 0.001099311901948507 0.0008042175154242704 
0.107836 0.539 0.001052566859275153 0.0007647334143376656 0.0010939008686412423 0.0008023607163273634 
0.107613  0.54 0.0010471846805903675 0.0007628187596815019 0.001088506982820317 0.0008004898979491926 
0.10739 0.541 0.0010417913069467623 0.0007609313221935099 0.001083130181251826 0.0007986052207330273 
0.107166 0.542 0.0010364206332560957 0.0007590307913607231 0.001077770401300044 0.0007967071703362348 
0.10694100000000001 0.543 0.001030984691151973 0.0007569433643622505 0.0010724275809242624 0.0007947957078537184 
0.10671599999999999 0.544 0.0010256242783341365 0.0007550791873592119 0.0010671016586756268 0.0007928706027836412 
0.10649 0.545 0.0010202832517909478 0.0007530946879148466 0.0010617925736940037 0.0007909321450547831 
0.106264 0.546 0.0010149897017353324 0.0007511491524498484 0.0010565002657048402 0.0007889802374523828 
0.106037 0.547 0.0010097030368529725 0.0007491794812486865 0.0010512246750160475 0.0007870150411810791 
0.10581 0.548 0.0010043363642471262 0.0007470853545531434 0.001045965742514888 0.0007850365904404357 
0.105583 0.549 0.0009991683982976487 0.0007451574667216294 0.0010407234096648788 0.0007830450473477458 
0.105355  0.55 0.0009939637748931519 0.0007431381995842498 0.001035497618502699 0.0007810403829535906 
0.10512600000000001 0.551 0.000988784703308606 0.0007411113414724766 0.0010302883116351134 0.0007790225711897436 
0.104897 0.552 0.0009835086909337537 0.0007390657068396528 0.0010250954322359052 0.0007769919031726427 
0.104667 0.553 0.0009783969942633362 0.0007370159212986943 0.0010199189240428178 0.0007749481654020009 
0.104437 0.554 0.0009732897355459971 0.0007349289183112375 0.0010147587313545027 0.0007728917747682604 
0.104207 0.555 0.0009681913222984879 0.0007329584530446167 0.0010096147990274818 0.000770822894550868 
0.103976 0.556 0.0009630495042842335 0.0007307881629943763 0.0010044870724731205 0.0007687411294989933 
0.103745 0.557 0.0009580346963899812 0.0007288486935327238 0.0009993754976546038 0.0007666470806481542 
0.10351300000000001 0.558 0.0009529731562260455 0.0007267179611852909 0.0009942800210839251 0.0007645402345691198 
0.10328 0.559 0.0009479076943870638 0.0007246070325988196 0.0009892005898188866 0.0007624205779650018 
0.103048  0.56 0.0009429607785213938 0.0007225667882215801 0.0009841371514601016 0.0007602896864478758 
0.10281399999999999 0.561 0.0009378914851696776 0.0007203882524790038 0.00097908965414801 0.0007581453445509638 
0.102581 0.562 0.0009329856742524568 0.0007182822930365918 0.0009740580465599015 0.0007559900957168551 
0.102346 0.563 0.000927972751379734 0.0007161441066655508 0.000969042277906945 0.0007538213805037954 
0.102112 0.564 0.0009231254813724132 0.0007140707440762937 0.0009640422979312258 0.0007516420869987113 
0.101877 0.565 0.0009182081960225362 0.0007118659153524375 0.0009590580569027963 0.0007494503940353995 
0.10164100000000001 0.566 0.0009132637304769345 0.000709748402901149 0.0009540895056167258 0.0007472462988817455 
0.101405 0.567 0.000908455920094774 0.0007075838933079717 0.0009491365953901607 0.0007450309875435436 
0.101169 0.568 0.000903638225511483 0.000705449306183661 0.0009441992780593956 0.0007428046246086245 
0.10093200000000001 0.569 0.0008987436542336139 0.000703261816876706 0.0009392775059769445 0.0007405660796186323 
0.10069499999999999  0.57 0.0008939790712836922 0.0007010919670972334 0.000934371232008628 0.0007383167038548196 
0.10045699999999999 0.571 0.0008891959040439567 0.0006989137230465453 0.0009294804095306537 0.0007360552611310175 
0.10021899999999999 0.572 0.0008844553069485579 0.0006967263974122442 0.0009246049924267189 0.0007337832109263474 
0.09998059999999999 0.573 0.000879666105544058 0.0006944907900603086 0.0009197449350851059 0.0007315001159090545 
0.0997416 0.574 0.0008749381372177156 0.0006922681902095313 0.0009149001923957902 0.0007292057672242652 
0.0995023 0.575 0.0008702691372230142 0.000690068913132129 0.0009100707197475566 0.0007269007191930367 
0.0992625 0.576 0.0008655892021939641 0.0006878783931378546 0.0009052564730251123 0.0007245847592248427 
0.09902230000000001 0.577 0.0008609248565455353 0.000685633636464249 0.0009004574086062128 0.0007222581471200395 
0.0987817 0.578 0.0008562330949240006 0.0006833886442996478 0.0008956734833587952 0.0007199209876483347 
0.09854059999999999 0.579 0.0008516582375925812 0.0006811084308289055 0.0008909046546381049 0.0007175732056396045 
0.0982992  0.58 0.0008470275645624532 0.0006788711790037839 0.0008861508802838434 0.0007152152630598929 
0.0980574 0.581 0.0008424449038629147 0.0006766410012343213 0.0008814121186173054 0.0007128470906876878 
0.0978151 0.582 0.0008378789131762629 0.0006743433894390214 0.000876688328438532 0.0007104686005944897 
0.0975725 0.583 0.0008333064028445241 0.0006720543910929262 0.0008719794690234618 0.000708080285183915 
0.0973295 0.584 0.000828788199512407 0.0006697979327575056 0.0008672855001210912 0.0007056820623071703 
0.09708610000000001 0.585 0.0008242829018004407 0.0006675348218499685 0.0008626063819506337 0.0007032740404294631 
0.09684229999999999 0.586 0.0008197483351939093 0.0006652083331423637 0.0008579420751986846 0.0007008563285296925 
0.0965981 0.587 0.0008152612692548161 0.0006629038502368109 0.0008532925410163942 0.0006984290360967139 
0.0963535 0.588 0.0008108234692448518 0.0006606150133623532 0.0008486577410166384 0.0006959922731255395 
0.09610850000000001 0.589 0.0008063620644804879 0.000658298490369742 0.0008440376372711976 0.000693546150113484 
0.09586320000000001  0.59 0.0008019140383668052 0.0006559586792061208 0.0008394321923079316 0.0006910910089907972 
