# T muB eHG nBHG eQGP nBQGP 
0.133356   0.4 0.0019273539789120041 0.0008778709219544778 0.0019870659445245845 0.0009206763109604414 
0.133213 0.401 0.0019209203447535309 0.0008781651885369034 0.0019806288651798283 0.0009215583048313297 
0.133069 0.402 0.0019145644905456166 0.0008784797955521431 0.001974192262587858 0.00092243044624692 
0.13292400000000001 0.403 0.0019068888892332938 0.0008781272319311166 0.0019677562467171135 0.0009232924280372331 
0.132779 0.404 0.0019006001173956623 0.0008785898858330071 0.0019613209272183363 0.0009241278197849522 
0.132633 0.405 0.0018941980049653564 0.0008788625370278511 0.001954886413422504 0.0009249527240761725 
0.132487 0.406 0.0018877898998974918 0.0008790300316083464 0.0019484528143387885 0.0009257509947788301 
0.13234 0.407 0.0018812606838521648 0.000879260337193049 0.0019420202386524978 0.0009265384561342499 
0.132192 0.408 0.0018747070707186818 0.0008795467002236425 0.0019355887947230877 0.0009273148092281981 
0.13204400000000002 0.409 0.0018681944070230174 0.0008797240577080828 0.0019291585905821355 0.0009280643334838642 
0.13189599999999999  0.41 0.0018612674115420053 0.0008797021229889634 0.0019227297339313592 0.0009287871529779586 
0.131746 0.411 0.0018546822139147386 0.0008799149753509361 0.0019163023321406374 0.0009295136819758123 
0.13159700000000002 0.412 0.0018483452439279422 0.0008800560181929331 0.0019098764922460475 0.0009301981946741068 
0.131446 0.413 0.0018417748404063088 0.0008802857074614423 0.0019034523209479248 0.000930885834834031 
0.131296 0.414 0.0018354226289320858 0.0008804353690162553 0.0018970299246089293 0.0009315317151515185 
0.131144 0.415 0.0018287884782126958 0.0008806161715909932 0.0018906094092521186 0.0009321801481820481 
0.130992 0.416 0.001821753390792542 0.0008806139890788757 0.0018841908805590664 0.0009328015327475929 
0.130839 0.417 0.001815406076274366 0.0008807102467322781 0.0018777744438679517 0.0009334103134553272 
0.130686 0.418 0.0018090056146829628 0.0008809433954721545 0.0018713602041717037 0.0009339920356052178 
0.130532 0.419 0.001802462297592695 0.0008810430338662663 0.001864948266116139 0.0009345608701285215 
0.130378  0.42 0.0017960969995841293 0.0008810905197842811 0.0018585387339981132 0.0009351026413388048 
0.130223 0.421 0.0017895344487464998 0.0008812452451064753 0.0018521317117636995 0.0009356312476515684 
0.13006800000000002 0.422 0.0017830867652928457 0.0008813271522810688 0.0018457273030063716 0.0009361327912605345 
0.129912 0.423 0.0017763041672245318 0.0008813365432556859 0.0018393256109652076 0.0009366208992591898 
0.129755 0.424 0.0017697371320531514 0.0008812596677356331 0.0018329267385231065 0.0009370953021751047 
0.12959800000000002 0.425 0.0017633279664064857 0.000881387430028326 0.0018265307882050221 0.000937542517649914 
0.12944 0.426 0.0017567988315256066 0.0008813690240025809 0.0018201378621761877 0.0009379757678653256 
0.129282 0.427 0.0017503591571301459 0.0008814067107801492 0.0018137480622404175 0.0009383818460858182 
0.129123 0.428 0.0017438965468627838 0.0008814824717363903 0.001807361489838346 0.0009387737056110157 
0.128963 0.429 0.0017371882445593105 0.0008813317768496668 0.0018009782460457356 0.0009391510869334251 
0.128803  0.43 0.0017306098904491783 0.0008813320433392706 0.001794598431571786 0.0009395011952206516 
0.128642 0.431 0.0017241197715332636 0.0008812945337053485 0.001788222146757435 0.0009398365827500149 
0.12848099999999998 0.432 0.0017177637249834144 0.0008812204516856165 0.00178184949157372 0.0009401447277899707 
0.128319 0.433 0.0017112405275461731 0.0008812398266027359 0.0017754805656201075 0.0009404379164270834 
0.128156 0.434 0.0017047018414528808 0.0008810865890912699 0.001769115468122876 0.0009407158994984049 
0.127993 0.435 0.0016980260604635437 0.0008809510228261309 0.0017627542979334796 0.0009409665632361843 
0.12783 0.436 0.0016916652284668888 0.0008808884758402183 0.0017563971535269525 0.00094119006292855 
0.127665 0.437 0.0016850200788033622 0.0008807795247367685 0.0017500441330003237 0.0009414097572420944 
0.127501 0.438 0.0016786178191324321 0.0008805869439260223 0.0017436953340710336 0.0009415906014074161 
0.127335 0.439 0.0016721358465261512 0.0008804341886292678 0.0017373508540753813 0.0009417671610524649 
0.127169  0.44 0.0016656303124137194 0.000880268558973796 0.0017310107899669693 0.0009419163943216446 
